[2023-07-21 19:11:29,105]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 19:11:29,113]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 19:11:29,113]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 19:11:29,114]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 19:11:29,114]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 19:11:29,207]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 19:11:29,207]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 19:11:33,024]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 19:11:33,024]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 19:11:33,024]^;INFO^;50^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 19:11:34,960]^;INFO^;52^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 19:11:34,960]^;INFO^;53^;__init__.py^;__init__()^;creating input csv started
